date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-08-06 00:00:00,28.1,24.9,31.5,,,,16.5,,,
2015-08-07 00:00:00,28.3,26,31,,,36,23.5,,,
2015-08-08 00:00:00,27.6,25,30.1,,,42,26.4,,,
2015-08-09 00:00:00,27.8,25,31,,,,18.5,,,
2015-08-10 00:00:00,26.2,24.7,28,,,28,13.4,,,
2015-08-11 00:00:00,25.1,22,28,,,244,9.9,,,
2015-08-12 00:00:00,27.3,23,31.3,,,,10.3,,,
2015-08-13 00:00:00,28.1,24.7,32,,,,13.6,,,
2015-08-14 00:00:00,27.7,24,32.1,,,19,12.2,,,
2015-08-15 00:00:00,28,25,32,,,41,14.8,,,
2015-08-16 00:00:00,28.1,24,32,,,,10.5,,,
2015-08-17 00:00:00,29.1,23,33.2,,,,11.7,,,
2015-08-18 00:00:00,27.9,24.7,31,,,,11.9,,,
2015-08-19 00:00:00,28.3,25.6,32,,,39,18.6,,,
2015-08-20 00:00:00,27.9,25,31.6,,,49,20.5,,,
2015-08-21 00:00:00,27.3,25,30,,,32,21.9,,,
2015-08-22 00:00:00,26,23,28,,,31,26.1,,,
2015-08-23 00:00:00,23.9,22,26,,,4,25.2,,,
2015-08-24 00:00:00,24.5,19.8,28,,,11,20.3,,,
2015-08-25 00:00:00,26.2,23,31.5,,,33,18.5,,,
2015-08-26 00:00:00,25.6,23,29,,,39,18.9,,,
2015-08-27 00:00:00,25.3,22,29,,,,18.9,,,
2015-08-28 00:00:00,25.6,22,30,,,,17.6,,,
2015-08-29 00:00:00,26.5,22.5,31,,,39,17.6,,,
2015-08-30 00:00:00,26.5,22,31,,,44,17.1,,,
2015-08-31 00:00:00,26.2,21.8,29.2,,,43,19.4,,,
2015-09-01 00:00:00,27,22.3,33.5,,,36,18.5,,,
2015-09-02 00:00:00,26.2,23,29,,,,13,,,
2015-09-03 00:00:00,26.2,21.7,31.6,,,299,11.3,,,
2015-09-04 00:00:00,25.9,23.4,29,,,0,13.4,,1012.6,
2015-09-05 00:00:00,25.5,21.9,29.1,,,149,9.8,,1013.8,
2015-09-06 00:00:00,28,22.8,32.7,,,193,11.7,,1011.6,
2015-09-07 00:00:00,25.2,23,27.2,,,15,26.6,,1015.2,
2015-09-08 00:00:00,24.4,22,27,,,25,23.1,,1016.1,
2015-09-09 00:00:00,23.7,21,26.3,,,25,23.7,,1017.5,
2015-09-10 00:00:00,25.5,22.5,30,,,52,19.5,,1015.7,
2015-09-11 00:00:00,26,23,30,,,52,17.3,,,
2015-09-12 00:00:00,22.6,20,26.9,,,352,26,,1015.7,
2015-09-13 00:00:00,22.5,20,25,,,353,28.4,,1018.4,
2015-09-14 00:00:00,23.2,21,25.2,,,34,19.7,,,
2015-09-15 00:00:00,23.2,20.8,26,,,36,17.8,,1018.1,
2015-09-16 00:00:00,23.3,20.8,26,,,29,19.2,,,
2015-09-17 00:00:00,24,21,28,,,35,18.5,,1016,
